order_id,customer_id,customer_name,product_category,quantity,unit_price,order_date,status
1,2764,Bilal,Clothing,3,1578.86,2026-03-09,Cancelled
2,1951,Ali,Sports,1,1035.12,2026-04-15,Pending
3,1905,Hina,Beauty,6,1077.34,2025-07-22,Pending
4,2114,Ali,Toys,5,785.72,2026-01-21,Completed
5,1058,Sara,Clothing,2,1229.72,2025-05-21,Completed
6,1974,Noor,Beauty,4,194.92,2026-01-20,Pending
7,1128,Bilal,Electronics,1,821.76,2025-04-27,Cancelled
8,1976,Ahmed,Clothing,9,1201.19,2025-01-05,Returned
9,2120,Iqra,Toys,2,1056.32,2025-05-27,Completed
10,1107,Ali,Groceries,3,936.02,2025-08-16,Pending
11,1215,Hassan,Electronics,3,648.27,2025-01-12,Returned
12,2024,Kiran,Books,7,560.36,2025-03-28,Completed
13,2964,Ahmed,Beauty,2,1024.62,2025-10-01,Completed
14,1402,Hina,Sports,6,75.46,2025-01-17,Cancelled
15,2030,Danish,Sports,9,409.11,2025-02-15,Cancelled
16,1974,Ali,Home,9,1581.9,2026-01-04,Cancelled
17,1207,Omar,Toys,1,1535.93,2026-04-13,Cancelled
18,1930,Bilal,Beauty,9,768.62,2025-03-14,Pending
19,1244,Sara,Electronics,10,1856.89,2025-01-31,Pending
20,1475,Ali,Toys,10,1577.21,2025-06-03,Returned
21,2585,Maham,Clothing,1,714.4,2025-06-19,Cancelled
22,2437,Danish,Sports,5,1479.9,2026-04-10,Returned
23,1393,Laiba,Clothing,2,1481.07,2025-06-12,Pending
24,1671,Usman,Toys,9,1116.36,2026-02-02,Completed
25,1948,Hassan,Home,3,161.37,2026-03-04,Completed
26,2556,Fatima,Sports,9,1735.89,2025-07-19,Returned
27,2181,Bilal,Electronics,7,543.56,2025-11-15,Completed
28,2741,Omar,Sports,4,1955.23,2026-04-23,Completed
29,2991,Bilal,Books,1,448.97,2025-05-16,Completed
30,1693,Ali,Sports,6,1528.34,2025-09-09,Cancelled
31,2834,Sara,Beauty,9,182.3,2025-06-30,Cancelled
32,1419,Fatima,Toys,2,962.92,2025-11-30,Pending
33,1289,Hassan,Clothing,3,935.83,2025-05-18,Pending
34,2993,Laiba,Sports,5,1689.42,2025-12-22,Completed
35,1924,Usman,Electronics,2,1278.07,2025-09-01,Cancelled
36,2673,Bilal,Beauty,3,1877.52,2025-06-04,Completed
37,2486,Sana,Clothing,10,708.72,2025-01-28,Cancelled
38,1686,Ali,Beauty,4,1634.06,2026-04-02,Pending
39,1070,Taha,Electronics,6,1150.67,2025-05-21,Returned
40,1872,Ali,Electronics,6,1760.39,2026-01-23,Pending
41,1523,Fatima,Home,2,1444.99,2025-05-05,Pending
42,2609,Sana,Groceries,6,1019.17,2026-04-03,Pending
43,2408,Laiba,Clothing,6,142.16,2026-02-11,Completed
44,1547,Usman,Groceries,8,1782.24,2025-07-22,Pending
45,2858,Hassan,Home,9,1752.82,2026-01-17,Completed
46,1126,Taha,Home,1,172.42,2025-07-19,Completed
47,1083,Danish,Sports,5,736.17,2025-10-17,Returned
48,1150,Noor,Books,5,556.3,2025-01-28,Cancelled
49,2774,Sara,Sports,4,760.85,2025-07-24,Completed
50,1677,Usman,Toys,8,269.66,2025-03-03,Pending
51,2520,Zain,Beauty,7,409.31,2025-08-20,Cancelled
52,1696,Sara,Groceries,2,87.9,2025-05-12,Returned
53,1009,Ali,Electronics,3,715.87,2025-11-06,Returned
54,1201,Iqra,Electronics,6,1106.26,2025-01-13,Returned
55,2002,Hamza,Groceries,2,1519.21,2025-09-22,Returned
56,1021,Sana,Sports,5,1856.12,2025-08-30,Pending
57,1879,Hamza,Electronics,3,1633.44,2025-12-20,Cancelled
58,2353,Noor,Groceries,4,1326.47,2025-11-30,Cancelled
59,1684,Ahmed,Groceries,7,538.28,2025-08-04,Completed
60,1360,Laiba,Sports,4,1830.73,2025-09-28,Cancelled
61,2028,Fatima,Toys,7,1139.52,2025-09-14,Completed
62,1340,Noor,Toys,9,1661.35,2025-12-02,Returned
63,2481,Fatima,Groceries,9,586.27,2025-10-28,Completed
64,2772,Ayesha,Electronics,8,1501.89,2025-11-07,Pending
65,1393,Taha,Sports,3,155.4,2026-01-12,Completed
66,2168,Sara,Groceries,7,78.61,2026-04-16,Returned
67,1817,Ahmed,Electronics,10,1598.59,2026-03-22,Cancelled
68,1028,Fatima,Sports,9,1316.4,2026-02-08,Returned
69,1793,Sara,Sports,1,1692.1,2025-03-12,Returned
70,2251,Ali,Books,10,1956.06,2026-03-27,Returned
71,1808,Ayesha,Home,1,1194.82,2025-01-21,Returned
72,2705,Sara,Sports,8,988.55,2025-03-23,Returned
73,1901,Zain,Beauty,10,838.81,2025-07-03,Pending
74,2696,Taha,Toys,7,838.01,2026-03-22,Cancelled
75,2465,Bilal,Beauty,6,630.55,2025-08-16,Completed
76,2565,Danish,Books,5,1625.32,2025-08-16,Completed
77,2184,Bilal,Beauty,1,1275.94,2026-01-14,Returned
78,1191,Hina,Groceries,7,1974.85,2025-01-07,Completed
79,2105,Hina,Beauty,9,1063.14,2025-11-12,Returned
80,1802,Kiran,Sports,6,509.06,2025-04-14,Cancelled
81,1100,Usman,Electronics,6,632.46,2025-01-14,Completed
82,1082,Usman,Clothing,4,1144.25,2025-07-16,Pending
83,2627,Danish,Clothing,2,481.88,2025-07-30,Returned
84,2032,Sana,Sports,4,1881.32,2026-02-20,Cancelled
85,2494,Omar,Home,6,535.25,2025-07-02,Returned
86,2093,Hamza,Toys,5,248.96,2025-03-18,Cancelled
87,2311,Usman,Clothing,9,1710.69,2025-05-20,Completed
88,1829,Ayesha,Toys,2,488.8,2025-05-29,Pending
89,2845,Kiran,Beauty,2,891.29,2025-11-14,Pending
90,2155,Omar,Toys,9,770.9,2026-04-10,Cancelled
91,2927,Usman,Electronics,6,1590.82,2025-07-22,Returned
92,1001,Iqra,Books,5,1798.39,2025-06-02,Completed
93,1121,Noor,Clothing,6,343.96,2025-05-21,Completed
94,2566,Sara,Books,4,1939.66,2025-03-18,Completed
95,2136,Noor,Toys,3,1762.75,2025-10-13,Cancelled
